Date,Infrastructure_Machineries,Daily_Sales__Percentage,Daily_Sales_Quantity,Market_Share,Political,Marketing,Budget,Customer_Id,Region,Predicted_Demand
2019-01-01,Excavators(crawler),0.034463806,80,35,1,1,5000.56,CUST00002,North Ryanstad,76.32
2019-01-01,Loaders (Wheeled),0.034463806,70,35,1,1,5000.56,CUST00003,South Christophermouth,69.58
2019-01-01,Skid Steer Loaders,0.034463806,70,35,1,1,5000.56,CUST00004,Juliashire,69.68
2019-01-01,Compactors,0.034463806,68,35,1,1,5000.56,CUST00005,Davidberg,67.91
2019-01-01,Tele Handlers ,0.034463806,61,35,1,1,5000.56,CUST00006,West Brandonburgh,63.33
2019-01-02,Backhoe Loader,0.038629891,51,35,1,1,5000.56,CUST00007,New Jamie,59.54
2019-01-02,Excavators(crawler),0.038629891,68,35,1,1,5000.56,CUST00008,Stevenshire,70.03
2019-01-02,Loaders (Wheeled),0.038629891,85,35,1,1,5000.56,CUST00009,North Jacquelineville,80.75
2019-01-02,Skid Steer Loaders,0.038629891,64,35,1,1,5000.56,CUST00010,South Justinstad,66.72
2019-01-02,Compactors,0.038629891,75,35,1,1,5000.56,CUST00011,Johnberg,74.34
2019-01-02,Tele Handlers ,0.038629891,79,35,1,1,5000.56,CUST00012,Rodneychester,75.08
2019-01-03,Backhoe Loader,0.025637758,62,35,1,1,5000.56,CUST00013,Port Katelyn,64.7
2019-01-03,Excavators(crawler),0.025637758,85,35,1,1,5000.56,CUST00014,East Sabrinaland,78.45
2019-01-03,Loaders (Wheeled),0.025637758,53,35,1,1,5000.56,CUST00015,Fieldsborough,67.73
2019-01-03,invalid_data,0.025637758,62,35,1,1,5000.56,CUST00016,Kennedyton,64.11
2019-01-03,Compactors,0.025637758,58,35,1,1,5000.56,CUST00017,Grahamfurt,60.42
2019-01-03,Tele Handlers ,0.025637758,66,35,1,1,5000.56,CUST00018,North Rogerstad,66.53
2019-01-04,Backhoe Loader,0.028812108,3562,35000,1,1,5000.56,CUST00019,Hernandezchester,3563.0
2019-01-04,Excavators(crawler),0.028812108,80,35,1,1,5000.56,CUST00020,West Amanda,75.33
2019-01-04,Loaders (Wheeled),-0.028812108,56,35,1,1,5000.56,CUST00021,Walshstad,52.1
2019-01-04,Skid Steer Loaders,0.028812108,60,35,1,1,5000.56,CUST00022,Roberthaven,62.79
2019-01-04,1/4/2019,0.028812108,58,35,1,1,5000.56,CUST00023,South Veronica,60.94
2019-01-04,Tele Handlers ,0.028812108,62,35,1,1,5000.56,CUST00024,Parkerchester,65.65
2019-01-05,Backhoe Loader,0.03216967,78,35,1,1,5000.56,CUST00025,Michaeltown,71.28
2025-03-15,Excavators(crawler),0.03216967,60,35,1,1,5000.56,CUST00026,Lake Bryanberg,64.56
2019-01-05,Loaders (Wheeled),0.03216967,61,35,1,1,5000.56,CUST00027,Michaelport,65.52
2019-01-05,Skid Steer Loaders,0.03216967,73,35,1,1,5000.56,CUST00028,Lake Craig,72.59
2019-01-05,Compactors,0.03216967,74,35,1,1,5000.56,CUST00029,Mariomouth,71.5
2019-01-05,Tele Handlers ,0.03216967,76,35,1,1,5000.56,CUST00030,East Courtneyhaven,74.33
2019-01-05,invalid_data,0.030429155,71,35,1,1,5000.56,CUST00031,North Marychester,65.22
2019-01-06,Excavators(crawler),0.030429155,77,35,1,1,5000.56,CUST00032,Luisview,72.11
2019-01-06,Loaders (Wheeled),0.030429155,63,35,1,1,5000.56,CUST00033,South Nathanchester,64.36
2019-01-06,Skid Steer Loaders,0.030429155,72,35,1,1,5000.56,CUST00034,Josephmouth,70.62
2019-01-06,Compactors,0.030429155,64,35,1,1,5000.56,CUST00035,Kimberlymouth,63.89
2019-01-06,Tele Handlers ,0.030429155,54,35,1,1,5000.56,CUST00036,Paceton,59.81
2019-01-07,Backhoe Loader,0.032918451,3562,35000,1,1,5000.56,CUST00037,Martinezton,3562.79
2019-01-07,Excavators(crawler),0.032918451,86,35,1,1,5000.56,CUST00038,Scottborough,79.82
2019-01-07,Loaders (Wheeled),0.032918451,69,35,1,1,5000.56,CUST00039,Jimenezberg,69.48
2019-01-07,Skid Steer Loaders,0.032918451,78,35,1,1,5000.56,CUST00040,Turnerland,74.18
2019-01-07,Compactors,-0.032918451,25,35,1,1,5000.56,CUST00041,West Colton,30.18
2019-01-07,Tele Handlers ,0.032918451,62,35,1,1,5000.56,CUST00042,Deanport,64.5
2019-01-08,Backhoe Loader,0.029616648,85,35,1,1,5000.56,CUST00043,New Christopher,79.88
2019-01-08,Excavators(crawler),0.029616648,64,35,1,1,5000.56,CUST00044,Kiaraton,65.32
2019-01-08,1/8/2019,0.029616648,77,35,1,1,5000.56,CUST00045,West Kathrynland,73.09
2019-01-08,invalid_data,0.029616648,63,35,1,1,5000.56,CUST00046,Port Amandashire,66.25
2019-01-08,Compactors,0.029616648,63,35,1,1,5000.56,CUST00047,West Denisebury,63.64
2019-01-08,Tele Handlers ,0.029616648,66,35,1,1,5000.56,CUST00048,Danielside,66.76
2019-01-09,Backhoe Loader,0.024112317,59,35,1,1,5000.56,CUST00049,West Ryanport,63.63
2019-01-09,Excavators(crawler),0.024112317,75,35,1,1,5000.56,CUST00050,Dwaynemouth,71.37
2025-03-15,Loaders (Wheeled),0.024112317,67,35,1,1,5000.56,CUST00051,Joannafort,68.13
2019-01-09,Skid Steer Loaders,0.024112317,72,35,1,1,5000.56,CUST00052,Port Anthonyside,69.43
2019-01-09,Compactors,0.024112317,71,35,1,1,5000.56,CUST00053,Alexandertown,63.74
2019-01-09,Tele Handlers ,0.024112317,62,35,1,1,5000.56,CUST00054,Lake Jenniferview,63.95
2019-01-10,Backhoe Loader,0.0310465,3563,35000,1,1,5000.56,CUST00055,West Rachel,3563.91
2019-01-10,Excavators(crawler),0.0310465,71,35,1,1,5000.56,CUST00056,Stevenfurt,69.01
2019-01-10,Loaders (Wheeled),0.0310465,64,35,1,1,5000.56,CUST00057,New Bradleyport,64.46
2019-01-10,Skid Steer Loaders,0.0310465,60,35,1,1,5000.56,CUST00058,Pughstad,68.82
2019-01-10,Compactors,0.0310465,58,35,1,1,5000.56,CUST00059,New Alicia,60.94
2019-01-10,Tele Handlers ,0.0310465,55,35,1,1,5000.56,CUST00060,Erikville,59.45
2019-01-10,invalid_data,-0.037721796,34,35,1,1,5000.56,CUST00061,Doughertyfurt,38.71
2019-01-11,Excavators(crawler),0.037721796,81,35,1,1,5000.56,CUST00062,West Carlosshire,77.19
2019-01-11,Loaders (Wheeled),0.037721796,74,35,1,1,5000.56,CUST00063,Danielfort,74.23
2019-01-11,Skid Steer Loaders,0.037721796,73,35,1,1,5000.56,CUST00064,South Alyssaburgh,72.71
2019-01-11,Compactors,0.037721796,76,35,1,1,5000.56,CUST00065,West Elizabeth,74.35
2019-01-11,Tele Handlers ,0.037721796,50,35,1,1,5000.56,CUST00066,North Keithfort,54.64
2019-01-11,1/12/2019,0.035710445,77,35,1,1,5000.56,CUST00067,Wadetown,71.2
2019-01-12,Excavators(crawler),0.035710445,70,35,1,1,5000.56,CUST00068,Meganland,70.16
2019-01-12,Loaders (Wheeled),0.035710445,69,35,1,1,5000.56,CUST00069,East Chris,72.09
2019-01-12,Skid Steer Loaders,0.035710445,69,35,1,1,5000.56,CUST00070,Lake Natasha,69.86
2019-01-12,Compactors,0.035710445,74,35,1,1,5000.56,CUST00071,New Jacob,69.51
2019-01-12,Tele Handlers ,0.035710445,71,35,1,1,5000.56,CUST00072,New Johnberg,70.76
2019-01-13,Backhoe Loader,0.028760331,3573,35000,1,1,5000.56,CUST00073,Gainesbury,3564.62
2019-01-13,Excavators(crawler),0.028760331,68,35,1,1,5000.56,CUST00074,Annaburgh,67.88
2019-01-13,Loaders (Wheeled),0.028760331,55,35,1,1,5000.56,CUST00075,Lake Jessemouth,66.59
2025-03-15,invalid_data,0.028760331,75,35,1,1,5000.56,CUST00076,Kathleenmouth,71.47
2019-01-13,Compactors,0.028760331,52,35,1,1,5000.56,CUST00077,Richardsonland,57.16
2019-01-13,Tele Handlers ,0.028760331,59,35,1,1,5000.56,CUST00078,South Devinton,68.42
2019-01-14,Backhoe Loader,0.026968037,75,35,1,1,5000.56,CUST00079,Brownfurt,71.56
2019-01-14,Excavators(crawler),0.026968037,75,35,1,1,5000.56,CUST00080,New Jeremiah,72.65
2019-01-14,Loaders (Wheeled),-0.026968037,44,35,1,1,5000.56,CUST00081,Jamestown,44.09
2019-01-14,Skid Steer Loaders,0.026968037,71,35,1,1,5000.56,CUST00082,Port Feliciabury,68.89
2019-01-14,Compactors,0.026968037,55,35,1,1,5000.56,CUST00083,Port Ronaldshire,58.59
2019-01-14,Tele Handlers ,0.026968037,59,35,1,1,5000.56,CUST00084,Kellyfort,63.68
2019-01-15,Backhoe Loader,0.030620333,71,35,1,1,5000.56,CUST00085,Singletonchester,69.7
2019-01-15,Excavators(crawler),0.030620333,86,35,1,1,5000.56,CUST00086,Alexandramouth,78.22
2019-01-15,Loaders (Wheeled),0.030620333,62,35,1,1,5000.56,CUST00087,Trevorton,64.11
2019-01-15,Skid Steer Loaders,0.030620333,55,35,1,1,5000.56,CUST00088,Port Tabitha,59.83
2019-01-15,1/15/2019,0.030620333,74,35,1,1,5000.56,CUST00089,Thomashaven,70.63
2019-01-15,Tele Handlers ,0.030620333,64,35,1,1,5000.56,CUST00090,Lewisbury,64.91
2019-01-15,invalid_data,0.032464403,3555,35000,1,1,5000.56,CUST00091,Alexanderport,3558.37
2019-01-16,Excavators(crawler),0.032464403,46,35,1,1,5000.56,CUST00092,Port Jennaborough,57.36
2019-01-16,Loaders (Wheeled),0.032464403,84,35,1,1,5000.56,CUST00093,East Carl,78.83
2019-01-16,Skid Steer Loaders,0.032464403,69,35,1,1,5000.56,CUST00094,Annaberg,69.79
2019-01-16,Compactors,0.032464403,85,35,1,1,5000.56,CUST00095,Walkershire,78.7
2019-01-16,Tele Handlers ,0.032464403,67,35,1,1,5000.56,CUST00096,East Andreamouth,69.08
